"","model_name","ess_def","ess_adj","rate_def","rate_adj"
"1","Centered",8236.88909149425,13120.1127294115,61.5594556469566,66.7632115953855
"2","MM",12117.4969069599,9859.43387384596,54.3175792080275,38.6178930726096
"3","Constrained P",7134.59111358421,5677.79331463723,16.6331213534057,8.69115491198581
"4","Noncentered",17342.7148398284,29182.2828382206,63.3211329854321,57.9252490029531
"5","Marginal q",13741.297811611,13480.760324328,178.875401899375,104.528676882151
"6","Explicit F",6560.70049187798,7110.26945182399,3.4844205628321,3.39600797999344
"7","Explicit F marg q",6164.59143335362,6408.33048527032,3.18345969899136,3.01502375727032
